v1;v2;v3;v4;v5;v6;v7;v8
684.18;1716.04;7535.11;2320.01;3623.17;4445.13;5500.15;6710.1
661.17;1726.03;7558.17;2331.17;3659.17;4416.15;5506.13;6734.05
923.18;1930.19;7704.06;2457.19;3832.19;4575.13;5620.08;6983.04
62.15;1184.09;6985.05;1968.11;3086.1;4046.01;4997.09;6056.1
209.03;1369.05;7114.12;2190.03;3231.09;4125.09;5226.18;6323.05
270.01;1313.06;7163.08;2110.12;3228.06;4158.06;5162.1;6305.08
436.16;1515.06;7321.01;2245.06;3466.1;4297.05;5325.13;6490.01
461;1573.15;7304.18;2176.08;3490.05;4293.08;5271.11;6500.18
630.17;1723.03;7558.11;2346.02;3627.15;4431.14;5524.06;6724.12
619.16;1757.1;7540.17;2318.01;3678.15;4398.12;5470.06;6776.09
832.17;1916.03;7781.06;2415.18;3917.04;4578.12;5622.1;6954.18
85.09;1083.12;6910.05;2005.01;2992.04;4015.1;5024.05;5998.05
260.17;1336.09;7104.12;2135.08;3216.13;4144.11;5202.14;6287.14
230.08;1316.18;7134.08;2116.17;3270.07;4145.09;5200.11;6278.12
439.13;1588.15;7348.01;2235.05;3427.13;4314.01;5322.13;6464.2
478.06;1544.15;7360.18;2172.01;3476.01;4312.03;5342.12;6539.15
676.11;1737.06;7517.11;2432.11;3640.06;4529.19;5515.04;6712.01
652.04;1788.14;7552.17;2274.03;3660.09;4427.06;5438.13;6771.05
818.16;2017.08;7707.06;2458.14;3815.19;4669.09;5640.16;6937.06
74.06;1159.15;6978.05;2002.15;3068.02;3939.08;5075.14;5990.12
215.18;1313.1;7162.12;2148.1;3220.15;4237.04;5168.16;6263.01
268.05;1312.12;7162.08;2094.17;3292.09;4138.14;5180.17;6232.04
408.14;1512.09;7375.01;2214.16;3414.09;4285.13;5378.05;6473.13
454.13;1594.16;7361.18;2133.03;3473.19;4297.16;5361.15;6443.15
720.18;1780.1;7540.11;2399.14;3633.16;4468.15;5480.06;6740.19
676.02;1786.06;7572.17;2318.17;3679.01;4416.08;5456.17;6752.11
840.01;1944.03;7738.06;2505.17;3905.08;4616.06;5603.2;6976.1
26.12;1122.05;6972.05;2023.19;2983.19;4009;5034.04;5975.05
254.04;1388.06;7142.12;2113.15;3222.1;4198.14;5271.08;6227.01
274.2;1364.12;7167.08;2121.07;3246.13;4163.01;5142.05;6308.09
415.16;1539.12;7342.01;2262.06;3482.01;4272.13;5307.05;6455.11
418;1579.15;7368.18;2226.14;3380.09;4231.16;5307.06;6518.1
720.1;1742.1;7536.11;2312;3626.09;4418.05;5464;6703.07
666.01;1770.17;7477.17;2296.05;3619.19;4371.17;5414.19;6791.09
815.06;1990.02;7745.06;2474.2;3810.08;4554.06;5638.02;6948.05
81.06;1180.07;6949.05;1990.17;3082.13;3918.04;5012.03;6070.02
223.13;1343;7160.12;2214;3210.09;4162.12;5184.08;6266.05
168.15;1322.11;7168.08;2122.15;3284.03;4156.09;5110.04;6290.09
448.15;1590.13;7350.01;2320.06;3416.11;4299.02;5376.08;6460.06
458.01;1524.1;7298.18;2229;3468.14;4294.05;5366.19;6533.06
720.11;1781.05;7528.11;2354.17;3674.05;4438.03;5445.05;6696.08
646.06;1752.06;7573.17;2307.17;3694.06;4382.04;5479.17;6761.02
875;1943.01;7793.06;2486.15;3886.05;4628.02;5630.11;6976.11
58.05;1170.02;6956.05;1986.03;3036.12;4023.06;5069;6054.08
222.17;1324.13;7150.12;2124.07;3311.13;4144.02;5193.04;6219.06
232.16;1343.16;7164.08;2132.16;3234.06;4186.12;5101;6299.08
412.09;1516.15;7368.01;2260.18;3420.08;4348.02;5344.06;6454.14
461.17;1552.15;7319.18;2168.01;3437.04;4298.12;5346.05;6516.08
626.13;1733;7517.11;2330.19;3628.2;4428.09;5474.04;6718.19
666;1674.03;7536.17;2272.11;3610.08;4428.02;5485.07;6750.01
820.07;1914.1;7793.06;2454.14;3809.1;4608.05;5642.18;6945
76.1;1074.15;6916.05;2022;3019.1;3927.11;5022.01;6032.14
256.03;1376.03;7193.12;2119.01;3252.02;4132.04;5198.07;6242.12
276.03;1386.08;7187.08;2054.19;3262.08;4150.1;5158.15;6245.09
410.11;1517.06;7326.01;2241.06;3478.06;4312.16;5364.19;6528.13
485.15;1520.02;7370.18;2157.12;3432.01;4237.19;5346.07;6532.12
662.14;1712.2;7524.11;2370.07;3668.08;4456.14;5539.17;6797.06
634;1791.04;7571.17;2327.04;3666.16;4458.04;5450.17;6738.07
821.02;1916.17;7712.06;2487.09;3808.18;4578.05;5656.06;6959.04
58.12;1132.12;6957.05;2044.03;3024.14;3982.15;5064.01;6042.03
244.07;1380.08;7175.12;2217.04;3308.07;4168.09;5181.12;6226
288.16;1381.19;7158.08;2134.05;3204.14;4158.19;5199.18;6239.01
511.16;1586.17;7396.01;2209.08;3452.15;4270.08;5399.06;6548.2
483.02;1567.1;7374.18;2193.04;3458.1;4304.16;5331.11;6518.18
639.08;1743.12;7512.11;2340.05;3640.05;4439.18;5457.19;6722.17
610.04;1786.07;7587.17;2316.1;3678.16;4459.19;5482.03;6743.19
858.07;1954.14;7739.06;2430.13;3869.16;4571.13;5598.19;6948.17
20.07;1176.1;6969.05;1951.04;3066.02;4029.2;4982.1;6005.15
220.08;1320.13;7122.12;2118;3239.01;4142.04;5238.1;6282.03
238.04;1343.15;7140.08;2086.02;3284.07;4142.1;5187.14;6311.09
422.13;1538.2;7312.01;2208.09;3496.18;4328.11;5338.16;6476
456.2;1471.17;7277.18;2214.12;3464.05;4294.07;5344.09;6518.03
666.14;1718.2;7545.11;2336.1;3672.01;4462.11;5515.11;6722.14
613.02;1736.12;7564.17;2332.04;3687.14;4428.11;5426.19;6726.19
848.18;1940.13;7786.06;2496.06;3818.01;4555.04;5601.02;6933.19
88.11;1188.06;6973.05;2019.1;3026.01;4039.03;5059.03;6042.07
212.09;1325.08;7232.12;2217.02;3284.16;4146.15;5194.15;6270.03
225.06;1352.14;7086.08;2130.18;3214.03;4064.13;5200.05;6244.08
420.15;1518.03;7384.01;2218.12;3454.13;4316.05;5417.05;6464.15
413.01;1588.03;7354.18;2230.09;3464.17;4272.19;5325.01;6502.02
612.12;1727.09;7529.11;2386.13;3627.15;4496.01;5509.11;6713.08
676.17;1778.19;7477.17;2326.02;3692.08;4394.01;5468.12;6767.16
843.14;1948.12;7709.06;2414.05;3920.14;4586.13;5648.07;6936.05
42.18;1171.03;6988.05;2046.19;3064.11;3962.08;5061.08;6056.19
211.02;1356.15;7121.12;2121.06;3323.17;4140.14;5189.08;6216.04
290.18;1271.04;7112.08;2130;3277.1;4153.12;5101.04;6282.14
458.13;1542.09;7320.01;2220.19;3441.08;4306;5324.03;6518.03
404.19;1492.13;7373.18;2136.16;3392.19;4287.15;5284.19;6548.17
605.05;1723.05;7529.11;2342.04;3632.12;4508.14;5522.09;6766.2
592.1;1758.15;7582.17;2269.01;3649.11;4449.14;5486.07;6759.02
926.09;1948.1;7778.06;2424.08;3844.06;4596.06;5688.01;7034.01
88.16;1180.18;6952.05;1994.04;3080.01;4019.01;5040.14;6028.08
237.01;1318.08;7137.12;2124.05;3332;4204.11;5195.09;6250.14
216.19;1295.05;7142.08;2021.08;3288.05;4102.17;5146.01;6308.15
523.19;1584.18;7360.01;2305.08;3478.13;4306.09;5305.14;6533.08
460;1555.07;7295.18;2241.01;3458.07;4201.12;5358.01;6552.19
628.1;1735.01;7524.11;2323.15;3623.13;4408.16;5457.1;6700.03
592.15;1790.11;7588.17;2306.04;3687.04;4461.18;5462.04;6689.02
824.01;2008.01;7814.06;2425;3920.14;4568.02;5637.17;6950.17
56.04;1160.03;6959.05;2022.16;3018.05;4018.16;5018.15;6006.06
290.13;1345.11;7112.12;2178.04;3215.09;4144.08;5174;6290.14
285.06;1382.14;7120.08;2116.07;3262.17;4169.16;5173.17;6240.16
481.1;1596.17;7321.01;2216.15;3433.14;4296.07;5332.11;6446.18
420.05;1501.02;7396.18;2222.11;3440;4312.08;5340.14;6522.15
717.09;1823.03;7563.11;2312.12;3624.19;4439.13;5467.04;6694.11
693.02;1776.14;7561.17;2341.09;3638.18;4377.14;5500.04;6683.04
818.01;1905.04;7820.06;2480.12;3844.17;4557;5587.03;6926.17
