v1;v2;v3;v4;v5;v6;v7;v8
3059;1322;949;3075;554;231;159;6828
2978;1196;904;3086;583;272;105;6849
2991;1217;954;3142;577;227;127;7013
3072;1244;930;3082;505;230;126;6817
3097;1243;940;3115;551;217;121;6888
3030;1183;912;3120;584;288;142;6898
3016;1244;1012;3051;553;290;135;6964
2926;1269;900;3071;568;268;159;6794
3051;1238;927;3130;543;302;166;6939
3010;1202;977;3040;573;267;137;6967
3057;1312;954;3070;559;233;156;6827
2977;1192;902;3100;588;269;114;6855
2997;1216;959;3130;576;239;125;7009
3082;1240;928;3080;506;244;136;6813
3115;1238;933;3097;557;221;134;6904
3023;1181;916;3112;579;284;156;6898
3018;1252;1008;3056;552;297;131;6974
2903;1269;914;3067;566;270;160;6802
3056;1226;914;3114;527;308;182;6935
2998;1203;987;3049;580;252;149;6975
3075;1313;960;3069;567;247;154;6844
2980;1193;901;3096;575;268;99;6845
3003;1208;963;3122;591;232;128;7009
3069;1240;949;3065;510;226;112;6793
3107;1232;929;3111;572;235;124;6900
3023;1186;915;3108;573;288;150;6900
3030;1252;1016;3053;548;296;137;6974
2919;1291;914;3057;579;273;147;6807
3067;1240;913;3109;521;312;172;6953
3010;1184;973;3030;590;258;157;6965
3059;1314;954;3085;565;241;175;6832
2975;1201;890;3078;583;273;109;6839
2993;1207;951;3124;589;229;129;7013
3075;1246;946;3077;506;228;116;6817
3098;1247;932;3113;560;224;132;6888
3032;1196;918;3117;576;274;150;6882
3012;1260;1010;3061;555;290;134;6956
2915;1284;914;3075;580;267;155;6802
3059;1244;912;3113;519;302;166;6937
3003;1204;973;3040;585;250;158;6973
3063;1322;949;3065;557;226;161;6824
2976;1201;904;3098;582;268;116;6854
2994;1214;954;3124;573;229;141;7027
3059;1235;936;3069;508;241;116;6817
3094;1239;948;3090;548;233;140;6889
3007;1187;917;3118;583;287;155;6888
3010;1242;1006;3057;552;299;147;6978
2921;1285;914;3067;562;269;153;6804
3051;1230;917;3109;527;298;163;6937
3006;1204;971;3030;565;244;155;6978
3069;1310;955;3061;555;225;159;6840
2962;1188;898;3103;565;252;111;6850
2986;1228;957;3122;591;222;122;7014
3059;1225;940;3077;488;220;118;6809
3107;1237;948;3101;556;221;117;6886
3017;1195;916;3123;575;272;138;6902
3013;1244;1000;3052;560;298;135;6976
2921;1283;894;3074;574;267;149;6807
3051;1226;915;3116;523;302;176;6949
3002;1192;992;3048;583;260;157;6983
3057;1324;955;3069;557;228;167;6844
2980;1182;899;3096;585;274;99;6839
2985;1213;958;3142;570;231;127;7008
3059;1244;938;3069;513;236;127;6795
3101;1243;928;3091;570;217;130;6892
3030;1187;925;3125;561;270;156;6902
3030;1239;1003;3061;546;315;129;6966
2917;1286;912;3075;570;268;154;6803
3055;1236;927;3111;528;308;157;6936
